"","sibs","age","incom16","reg16","res16","pasei10","masei10","granborn","family16","age_num","sibs_num","pasei10_num","masei10_num"
"1","1",72,"above average","middle atlantic","in a suburb near a large city","76.3","62.9","four","both own mother and father",72,1,76.3,62.9
"2","3",80,"below average","east north central","in a suburb near a large city","26.8","iap","iap","both own mother and father",80,3,26.8,NA
"4","1",23,"above average","new england","in a small city or town (under 50,000)","26.8","84.2","none","both own mother and father",23,1,26.8,84.2
"5","2",62,"average","new england","in a small city or town (under 50,000)","25.2","38.8","two","both own mother and father",62,2,25.2,38.8
"6","1",27,"far below average","middle atlantic","in a small city or town (under 50,000)","62","37.6","none","both own mother and father",27,1,62,37.6
"7","3",20,"average","middle atlantic","in a large city (over 250,000)","23.3","iap","four","both own mother and father",20,3,23.3,NA
"8","3",47,"below average","pacific","in a medium-size city (50,000-250,000)","32","41.8","four","both own mother and father",47,3,32,41.8
"11","15",57,"far above average","middle atlantic","in a medium-size city (50,000-250,000)","iap","20.1","none","both own mother and father",57,15,NA,20.1
"12","2",25,"above average","middle atlantic","in a medium-size city (50,000-250,000)","67.7","67.7","none","both own mother and father",25,2,67.7,67.7
"13","4",35,"below average","middle atlantic","in a small city or town (under 50,000)","32.6","21.6","two","both own mother and father",35,4,32.6,21.6
"14","4",36,"below average","new england","in a medium-size city (50,000-250,000)","31.2","20.1","none","both own mother and father",36,4,31.2,20.1
"16","9",65,"below average","middle atlantic","in a large city (over 250,000)","33.7","iap","none","both own mother and father",65,9,33.7,NA
"17","13",20,"average","new england","in a medium-size city (50,000-250,000)","32.6","13.6","four","both own mother and father",20,13,32.6,13.6
"18","3",80,"average","middle atlantic","in a suburb near a large city","76.3","38.8","four","both own mother and father",80,3,76.3,38.8
"19","5",35,"far below average","new england","in a large city (over 250,000)","31.2","39.7","two","both own mother and father",35,5,31.2,39.7
"20","7",89,"average","new england","in a medium-size city (50,000-250,000)","25.2","iap","iap","both own mother and father",NA,7,25.2,NA
"23","1",65,"average","middle atlantic","in a medium-size city (50,000-250,000)","25.1","13.2","four","both own mother and father",65,1,25.1,13.2
"24","8",60,"average","middle atlantic","in a medium-size city (50,000-250,000)","65.09999999999999","24.2","none","both own mother and father",60,8,65.1,24.2
"26","0",82,"average","middle atlantic","in a suburb near a large city","23.3","38.8","two","both own mother and father",82,0,23.3,38.8
"28","1",86,"average","foreign","in a medium-size city (50,000-250,000)","42.2","iap","four","both own mother and father",86,1,42.2,NA
"29","4",36,"below average","middle atlantic","in a large city (over 250,000)","20.7","13.6","none","both own mother and father",36,4,20.7,13.6
"30","3",79,"below average","middle atlantic","in a small city or town (under 50,000)","64.2","80.90000000000001","none","both own mother and father",79,3,64.2,80.9
