"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm","res16large_city","res16medium_size_city","res16small_city_or_town"
"18",3,80,3,76.3,38.8,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"23",1,65,3,25.1,13.2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"26",0,82,3,23.3,38.8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"35",0,62,4,66.2,35.1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"50",1,70,3,45.4,39.7,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"52",2,46,4,77.4,67.7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"53",1,43,5,85.2,76.3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"56",7,66,3,21.5,19.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"79",1,62,2,35.8,80.9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"80",6,23,2,26.8,20.1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"93",4,47,1,50.4,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"98",6,71,3,35.8,20.7,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"113",6,48,3,43,21.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"114",1,40,4,37.6,57.8,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"118",2,46,3,65.3,38.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"137",6,56,3,76.3,33.2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"150",1,29,4,76.3,38.3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"153",1,70,3,76.3,35.1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"172",2,34,3,62,26.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"173",2,29,3,81.5,84.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"182",3,53,2,32,59.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"206",1,74,2,18.6,13.2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"227",1,43,3,88.7,57.5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"238",2,41,4,52.3,80.9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"248",1,22,3,31.2,62.9,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"249",8,51,2,39.7,13.2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"268",4,30,3,91.9,86.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"272",1,66,4,67.7,43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"277",2,57,1,39.9,38.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"284",2,41,4,61.4,54.6,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"296",2,61,1,58.4,12.6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"300",2,28,4,65.3,26.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"301",7,60,4,89.3,80.9,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"305",2,60,3,43,68.6,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"312",14,66,4,25.2,38.8,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"321",1,23,3,86.8,76.3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"329",3,54,1,28.7,12.6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"330",3,33,2,84.2,86.8,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"331",3,20,3,23.3,23.3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"338",3,31,1,18.6,12.6,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"347",2,74,1,28.7,26.8,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"372",8,53,4,77.4,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"374",10,45,2,31.2,23.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"377",6,70,1,26.8,26.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"378",3,33,1,25.2,26.8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"388",3,63,3,67.7,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"390",2,77,3,25,23.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"407",1,57,3,48.3,56.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"412",2,84,3,32,19.6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"413",2,29,4,38.8,69.3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"415",2,77,3,65.3,38.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"423",0,85,3,32,55.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"429",3,63,3,28.4,35.8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"432",2,75,3,38.3,35.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"459",2,56,4,62,38.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"476",2,44,3,67.7,35.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"481",3,64,4,61.2,84.2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"482",3,57,4,77.4,43,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"485",2,58,2,81.6,25.7,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"491",5,71,2,62.6,38.8,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"492",5,49,3,91.1,84.2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"495",1,38,3,65.1,84.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"502",0,29,5,67.7,35.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"511",2,34,4,67.7,43.1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"514",4,70,4,41.6,20.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"518",1,53,4,84.5,84.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"520",0,49,2,50.4,28.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"534",2,23,3,77.3,80.9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
