,date,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,race_id,hour
5,2018-03-25 05:00:00,74.225296,0.0,17.609894,295.58847,989,5
6,2018-03-25 06:00:00,73.1453,0.0,16.783464,291.0924,989,6
7,2018-03-25 07:00:00,70.985306,0.0,17.57149,301.46408,989,7
8,2018-03-25 08:00:00,68.5553,0.0,13.24372,322.54935,989,8
9,2018-03-25 09:00:00,67.2053,0.0,10.054064,290.85452,989,9
15,2018-04-08 15:00:00,81.347,0.0,9.511855,48.814175,990,15
16,2018-04-08 16:00:00,79.547005,0.0,9.174428,44.999897,990,16
17,2018-04-08 17:00:00,78.557,0.0,7.9342575,49.574005,990,17
18,2018-04-08 18:00:00,77.927,0.0,6.0191517,48.01287,990,18
19,2018-04-08 19:00:00,77.117004,0.0,5.2414584,39.805527,990,19
6,2018-04-15 06:00:00,64.9283,0.0,9.083983,350.07382,991,6
7,2018-04-15 07:00:00,64.7483,0.0,8.686936,348.11136,991,7
8,2018-04-15 08:00:00,64.1183,0.0,6.8621593,340.9743,991,8
9,2018-04-15 09:00:00,62.6783,0.0,4.3434687,325.4914,991,9
10,2018-04-15 10:00:00,57.1883,0.0,5.0020843,10.304792,991,10
12,2018-04-29 12:00:00,60.7703,0.0,25.964624,1.9748993,992,12
13,2018-04-29 13:00:00,59.4203,0.0,25.293932,2.0272868,992,13
14,2018-04-29 14:00:00,57.6203,0.0,23.05087,1.6683058,992,14
15,2018-04-29 15:00:00,56.0903,0.0,20.13797,1.2730018,992,15
16,2018-04-29 16:00:00,55.5503,0.0,19.920607,358.06946,992,16
13,2018-05-13 13:00:00,59.4482,0.1023622,10.749245,167.98854,993,13
14,2018-05-13 14:00:00,59.7182,0.015748031,8.003335,153.43501,993,14
15,2018-05-13 15:00:00,59.8982,0.03937008,5.9690604,102.99462,993,15
16,2018-05-13 16:00:00,59.6282,0.0,9.683911,96.63242,993,16
17,2018-05-13 17:00:00,58.5482,0.0,9.215245,84.4279,993,17
13,2018-05-27 13:00:00,77.5364,0.0118110245,10.265856,78.6901,994,13
14,2018-05-27 14:00:00,78.5264,0.0,7.024322,99.16227,994,14
15,2018-05-27 15:00:00,77.446396,0.003937008,4.1065865,60.64234,994,15
16,2018-05-27 16:00:00,76.8164,0.0,4.343468,101.88863,994,16
17,2018-05-27 17:00:00,75.7364,0.0,5.0020843,79.69521,994,17
18,2018-06-10 18:00:00,66.3836,0.0,3.607054,7.12493,995,18
19,2018-06-10 19:00:00,67.1936,0.0,2.0256896,6.3401003,995,19
20,2018-06-10 20:00:00,67.373604,0.0,1.0004169,26.564985,995,20
21,2018-06-10 21:00:00,67.4636,0.0,1.2046614,158.19853,995,21
22,2018-06-10 22:00:00,67.6436,0.0,3.9067528,193.24052,995,22
14,2018-06-24 14:00:00,72.248,0.0,4.1065865,150.64235,996,14
15,2018-06-24 15:00:00,72.968,0.0,2.8647578,128.65984,996,15
16,2018-06-24 16:00:00,71.978004,0.0,0.7074015,71.564964,996,16
17,2018-06-24 17:00:00,70.898,0.0,1.6285605,105.945465,996,17
18,2018-06-24 18:00:00,69.548004,0.0,1.8981575,135.0001,996,18
13,2018-07-01 13:00:00,65.4026,0.0,5.405955,114.44395,997,13
14,2018-07-01 14:00:00,67.0226,0.0,3.607054,119.74479,997,14
15,2018-07-01 15:00:00,66.6626,0.0,4.6116934,129.09386,997,15
16,2018-07-01 16:00:00,63.3326,0.0,6.673612,129.55963,997,16
17,2018-07-01 17:00:00,61.1726,0.0,6.023307,121.328636,997,17
13,2018-07-08 13:00:00,80.820496,0.0,7.9845543,348.6901,998,13
14,2018-07-08 14:00:00,82.530495,0.0,8.420753,343.0091,998,14
15,2018-07-08 15:00:00,83.7905,0.0,8.423723,349.28693,998,15
16,2018-07-08 16:00:00,82.1705,0.0,12.598898,353.88458,998,16
17,2018-07-08 17:00:00,80.460495,0.0,10.760877,20.695532,998,17
13,2018-07-22 13:00:00,74.8994,0.0511811,8.225348,315.0001,999,13
14,2018-07-22 14:00:00,78.2294,0.0,7.618947,319.7637,999,14
15,2018-07-22 15:00:00,79.0394,0.0,5.8547893,6.581848,999,15
16,2018-07-22 16:00:00,77.0594,0.003937008,7.024322,9.16228,999,16
17,2018-07-22 17:00:00,76.6994,0.0,3.3629484,356.186,999,17
13,2018-07-29 13:00:00,91.11381,0.0,6.651079,317.72638,1000,13
14,2018-07-29 14:00:00,91.0238,0.0,8.605911,332.1028,1000,14
15,2018-07-29 15:00:00,90.213806,0.0,11.845542,349.11453,1000,15
16,2018-07-29 16:00:00,86.07381,0.0,9.660629,42.184383,1000,16
17,2018-07-29 17:00:00,85.9838,0.0,3.5370076,18.435053,1000,17
13,2018-08-26 13:00:00,62.6306,0.0,10.243897,211.60745,1001,13
14,2018-08-26 14:00:00,63.1706,0.0,11.546041,215.53777,1001,14
15,2018-08-26 15:00:00,62.1806,0.0,11.231878,224.19316,1001,15
16,2018-08-26 16:00:00,62.6306,0.0,9.650264,224.0609,1001,16
17,2018-08-26 17:00:00,60.5606,0.003937008,9.429956,202.30626,1001,17
13,2018-09-02 13:00:00,67.526596,0.003937008,2.062412,12.528798,1002,13
14,2018-09-02 14:00:00,67.8866,0.0,2.0008337,333.43503,1002,14
15,2018-09-02 15:00:00,68.0666,0.0,3.689355,75.96373,1002,15
16,2018-09-02 16:00:00,67.0766,0.0,3.3851953,97.59455,1002,16
17,2018-09-02 17:00:00,66.446594,0.0,1.9112936,69.44387,1002,17
12,2018-09-16 12:00:00,82.6502,0.0,11.220735,184.57384,1003,12
13,2018-09-16 13:00:00,81.1202,0.0,8.43263,158.19853,1003,13
14,2018-09-16 14:00:00,79.9502,0.0,7.5197816,120.37905,1003,14
15,2018-09-16 15:00:00,79.9502,0.0,9.204379,115.94224,1003,15
16,2018-09-16 16:00:00,79.9502,0.0,8.594274,128.65984,1003,16
11,2018-09-30 11:00:00,72.932,0.0,7.651717,322.12497,1004,11
12,2018-09-30 12:00:00,73.742004,0.0,5.6103673,336.5014,1004,12
