,raceId,circuit_name,location,country,lat,lng,race_date,scheduled_time
0,989,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2018-03-25,05:10:00
1,990,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2018-04-08,15:10:00
2,991,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2018-04-15,06:10:00
3,992,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2018-04-29,12:10:00
4,993,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2018-05-13,13:10:00
5,994,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2018-05-27,13:10:00
6,995,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2018-06-10,18:10:00
7,996,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,2018-06-24,14:10:00
8,997,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2018-07-01,13:10:00
9,998,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2018-07-08,13:10:00
10,999,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,2018-07-22,13:10:00
11,1000,Hungaroring,Budapest,Hungary,47.5789,19.2486,2018-07-29,13:10:00
12,1001,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2018-08-26,13:10:00
13,1002,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2018-09-02,13:10:00
14,1003,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2018-09-16,12:10:00
15,1004,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2018-09-30,11:10:00
16,1005,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2018-10-07,05:10:00
17,1006,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2018-10-21,18:10:00
18,1007,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2018-10-28,19:10:00
19,1008,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2018-11-11,17:10:00
20,1009,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2018-11-25,13:10:00
21,1010,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2019-03-17,05:10:00
22,1011,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2019-03-31,15:10:00
23,1012,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2019-04-14,06:10:00
24,1013,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2019-04-28,12:10:00
25,1014,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2019-05-12,13:10:00
26,1015,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,2019-05-26,13:10:00
27,1016,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2019-06-09,18:10:00
28,1017,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,2019-06-23,13:10:00
29,1018,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2019-06-30,13:10:00
30,1019,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2019-07-14,13:10:00
31,1020,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,2019-07-28,13:10:00
32,1021,Hungaroring,Budapest,Hungary,47.5789,19.2486,2019-08-04,13:10:00
33,1022,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2019-09-01,13:10:00
34,1023,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2019-09-08,13:10:00
35,1024,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2019-09-22,12:10:00
36,1025,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2019-09-29,11:10:00
37,1026,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2019-10-13,05:10:00
38,1027,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2019-10-27,19:10:00
