"","sibs","age","incom16","pasei10","masei10","granborn","reg16east_south_atlantic","reg16foreign","reg16middle_atlantic","reg16mountain","reg16new_england","reg16pacific","reg16south_atlantic","reg16west_north_central","reg16west_south_central","res16in_a_large_city_(over_250,000)","res16in_a_medium-size_city_(50,000-250,000)","res16in_a_small_city_or_town_(under_50,000)","res16in_a_suburb_near_a_large_city","res16in_open_country_but_not_on_a_farm"
"1",1,72,4,76.3,62.9,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"4",1,23,4,26.8,84.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"5",2,62,3,25.2,38.8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"6",1,27,1,62,37.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"8",3,47,2,32,41.8,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"12",2,25,4,67.7,67.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"13",4,35,2,32.6,21.6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"14",4,36,2,31.2,20.1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"17",13,20,3,32.6,13.6,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"18",3,80,3,76.3,38.8,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"19",5,35,1,31.2,39.7,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"23",1,65,3,25.1,13.2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"24",8,60,3,65.1,24.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"26",0,82,3,23.3,38.8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"29",4,36,2,20.7,13.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"30",3,79,2,64.2,80.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"31",6,65,3,67.7,35.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"34",1,72,3,43,38.3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"35",0,62,4,66.2,35.1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"36",1,46,2,48.8,20.1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"37",3,84,2,32,20.7,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"39",1,38,5,38.3,38.8,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"44",0,30,3,62,80.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"45",0,30,3,31.2,12.6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"48",1,52,4,67.7,77.2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"50",1,70,3,45.4,39.7,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"51",2,59,4,83.8,62.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"52",2,46,4,77.4,67.7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"53",1,43,5,85.2,76.3,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"56",7,66,3,21.5,19.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"61",1,49,3,25.2,45.1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"71",13,67,2,31.3,12.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"79",1,62,2,35.8,80.9,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"80",6,23,2,26.8,20.1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
